PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31315227","Gut Microbiome: Profound Implications for Diet and Disease","Hills RD Jr, Pontefract BA, Mishcon HR, Black CA, Sutton SC, Theberge CR.","Nutrients. 2019 Jul 16;11(7):1613. doi: 10.3390/nu11071613.","Hills RD Jr","Nutrients","2019","2019/07/19","PMC6682904","","10.3390/nu11071613"
"31521398","Mediterranean diet: The role of long-chain ω-3 fatty acids in fish; polyphenols in fruits, vegetables, cereals, coffee, tea, cacao and wine; probiotics and vitamins in prevention of stroke, age-related cognitive decline, and Alzheimer disease","Román GC, Jackson RE, Gadhia R, Román AN, Reis J.","Rev Neurol (Paris). 2019 Dec;175(10):724-741. doi: 10.1016/j.neurol.2019.08.005. Epub 2019 Sep 11.","Román GC","Rev Neurol (Paris)","2019","2019/09/16","","","10.1016/j.neurol.2019.08.005"
"26746178","Dietary and Policy Priorities for Cardiovascular Disease, Diabetes, and Obesity: A Comprehensive Review","Mozaffarian D.","Circulation. 2016 Jan 12;133(2):187-225. doi: 10.1161/CIRCULATIONAHA.115.018585.","Mozaffarian D","Circulation","2016","2016/01/10","PMC4814348","NIHMS741208","10.1161/CIRCULATIONAHA.115.018585"
"29171095","The Gastrointestinal Microbiome: A Review","Barko PC, McMichael MA, Swanson KS, Williams DA.","J Vet Intern Med. 2018 Jan;32(1):9-25. doi: 10.1111/jvim.14875. Epub 2017 Nov 24.","Barko PC","J Vet Intern Med","2018","2017/11/25","PMC5787212","","10.1111/jvim.14875"
"31023434","Intestinal Microbiota in Cardiovascular Health and Disease: JACC State-of-the-Art Review","Tang WHW, Bäckhed F, Landmesser U, Hazen SL.","J Am Coll Cardiol. 2019 Apr 30;73(16):2089-2105. doi: 10.1016/j.jacc.2019.03.024.","Tang WHW","J Am Coll Cardiol","2019","2019/04/27","PMC6518422","NIHMS1524227","10.1016/j.jacc.2019.03.024"
"33671813","Role of Gut Microbiota, Probiotics and Prebiotics in the Cardiovascular Diseases","Oniszczuk A, Oniszczuk T, Gancarz M, Szymańska J.","Molecules. 2021 Feb 22;26(4):1172. doi: 10.3390/molecules26041172.","Oniszczuk A","Molecules","2021","2021/03/06","PMC7926819","","10.3390/molecules26041172"
"32860083","Efficacy of Probiotics in Patients of Cardiovascular Disease Risk: a Systematic Review and Meta-analysis","Dixon A, Robertson K, Yung A, Que M, Randall H, Wellalagodage D, Cox T, Robertson D, Chi C, Sun J.","Curr Hypertens Rep. 2020 Aug 29;22(9):74. doi: 10.1007/s11906-020-01080-y.","Dixon A","Curr Hypertens Rep","2020","2020/08/30","","","10.1007/s11906-020-01080-y"
"28096125","Dietary Supplements and Risk of Cause-Specific Death, Cardiovascular Disease, and Cancer: A Systematic Review and Meta-Analysis of Primary Prevention Trials","Schwingshackl L, Boeing H, Stelmach-Mardas M, Gottschald M, Dietrich S, Hoffmann G, Chaimani A.","Adv Nutr. 2017 Jan 17;8(1):27-39. doi: 10.3945/an.116.013516. Print 2017 Jan.","Schwingshackl L","Adv Nutr","2017","2017/01/19","PMC5227980","","10.3945/an.116.013516"
"31809283","Microbiome and hypertension: where are we now?","Vallianou NG, Geladari E, Kounatidis D.","J Cardiovasc Med (Hagerstown). 2020 Feb;21(2):83-88. doi: 10.2459/JCM.0000000000000900.","Vallianou NG","J Cardiovasc Med (Hagerstown)","2020","2019/12/07","","","10.2459/JCM.0000000000000900"
"31955527","The mutual interplay of gut microbiota, diet and human disease","Illiano P, Brambilla R, Parolini C.","FEBS J. 2020 Mar;287(5):833-855. doi: 10.1111/febs.15217. Epub 2020 Feb 3.","Illiano P","FEBS J","2020","2020/01/20","","","10.1111/febs.15217"
"34444908","Nutrition in Patients with Type 2 Diabetes: Present Knowledge and Remaining Challenges","Petroni ML, Brodosi L, Marchignoli F, Sasdelli AS, Caraceni P, Marchesini G, Ravaioli F.","Nutrients. 2021 Aug 10;13(8):2748. doi: 10.3390/nu13082748.","Petroni ML","Nutrients","2021","2021/08/27","PMC8401663","","10.3390/nu13082748"
"28658542","The nutrition-gut microbiome-physiology axis and allergic diseases","McKenzie C, Tan J, Macia L, Mackay CR.","Immunol Rev. 2017 Jul;278(1):277-295. doi: 10.1111/imr.12556.","McKenzie C","Immunol Rev","2017","2017/06/29","","","10.1111/imr.12556"
"29581563","A review of probiotic supplementation in healthy adults: helpful or hype?","Khalesi S, Bellissimo N, Vandelanotte C, Williams S, Stanley D, Irwin C.","Eur J Clin Nutr. 2019 Jan;73(1):24-37. doi: 10.1038/s41430-018-0135-9. Epub 2018 Mar 26.","Khalesi S","Eur J Clin Nutr","2019","2018/03/28","","","10.1038/s41430-018-0135-9"
"29543648","Heart-rate variability: a biomarker to study the influence of nutrition on physiological and psychological health?","Young HA, Benton D.","Behav Pharmacol. 2018 Apr;29(2 and 3-Spec Issue):140-151. doi: 10.1097/FBP.0000000000000383.","Young HA","Behav Pharmacol","2018","2018/03/16","PMC5882295","","10.1097/FBP.0000000000000383"
"27409822","GUT MICROBIOTA, PREBIOTICS, PROBIOTICS, AND SYNBIOTICS IN MANAGEMENT OF OBESITY AND PREDIABETES: REVIEW OF RANDOMIZED CONTROLLED TRIALS","Barengolts E.","Endocr Pract. 2016 Oct;22(10):1224-1234. doi: 10.4158/EP151157.RA. Epub 2016 Jul 13.","Barengolts E","Endocr Pract","2016","2016/07/14","","","10.4158/EP151157.RA"
"34360839","The Role of Gut Microbiota on Cholesterol Metabolism in Atherosclerosis","Vourakis M, Mayer G, Rousseau G.","Int J Mol Sci. 2021 Jul 28;22(15):8074. doi: 10.3390/ijms22158074.","Vourakis M","Int J Mol Sci","2021","2021/08/07","PMC8347163","","10.3390/ijms22158074"
"27553986","Gut microbiota in chronic kidney disease","Cigarran Guldris S, González Parra E, Cases Amenós A.","Nefrologia. 2017 Jan-Feb;37(1):9-19. doi: 10.1016/j.nefro.2016.05.008. Epub 2016 Aug 21.","Cigarran Guldris S","Nefrologia","2017","2016/08/25","","","10.1016/j.nefro.2016.05.008"
"33919016","Dietary Strategies for Management of Metabolic Syndrome: Role of Gut Microbiota Metabolites","Croci S, D'Apolito LI, Gasperi V, Catani MV, Savini I.","Nutrients. 2021 Apr 21;13(5):1389. doi: 10.3390/nu13051389.","Croci S","Nutrients","2021","2021/04/30","PMC8142993","","10.3390/nu13051389"
"34436434","Exploring the Gut Microbiota and Cardiovascular Disease","Murphy K, O'Donovan AN, Caplice NM, Ross RP, Stanton C.","Metabolites. 2021 Jul 29;11(8):493. doi: 10.3390/metabo11080493.","Murphy K","Metabolites","2021","2021/08/26","PMC8401482","","10.3390/metabo11080493"
"34327475","Top 10 dietary strategies for atherosclerotic cardiovascular risk reduction","Sikand G, Severson T.","Am J Prev Cardiol. 2020 Nov 19;4:100106. doi: 10.1016/j.ajpc.2020.100106. eCollection 2020 Dec.","Sikand G","Am J Prev Cardiol","2020","2021/07/30","PMC8315554","","10.1016/j.ajpc.2020.100106"
"24231662","The gut microbiome, kidney disease, and targeted interventions","Ramezani A, Raj DS.","J Am Soc Nephrol. 2014 Apr;25(4):657-70. doi: 10.1681/ASN.2013080905. Epub 2013 Nov 14.","Ramezani A","J Am Soc Nephrol","2014","2013/11/16","PMC3968507","","10.1681/ASN.2013080905"
"32764281","The Relationship between Choline Bioavailability from Diet, Intestinal Microbiota Composition, and Its Modulation of Human Diseases","Arias N, Arboleya S, Allison J, Kaliszewska A, Higarza SG, Gueimonde M, Arias JL.","Nutrients. 2020 Aug 5;12(8):2340. doi: 10.3390/nu12082340.","Arias N","Nutrients","2020","2020/08/09","PMC7468957","","10.3390/nu12082340"
"33419368","Probiotics, Prebiotics and Synbiotics-A Promising Strategy in Prevention and Treatment of Cardiovascular Diseases?","Olas B.","Int J Mol Sci. 2020 Dec 20;21(24):9737. doi: 10.3390/ijms21249737.","Olas B","Int J Mol Sci","2020","2021/01/09","PMC7767061","","10.3390/ijms21249737"
"31082615","The role of diet and intestinal microbiota in the development of metabolic syndrome","Santos-Marcos JA, Perez-Jimenez F, Camargo A.","J Nutr Biochem. 2019 Aug;70:1-27. doi: 10.1016/j.jnutbio.2019.03.017. Epub 2019 Apr 8.","Santos-Marcos JA","J Nutr Biochem","2019","2019/05/15","","","10.1016/j.jnutbio.2019.03.017"
"28096139","Potential Health Benefits of Combining Yogurt and Fruits Based on Their Probiotic and Prebiotic Properties","Fernandez MA, Marette A.","Adv Nutr. 2017 Jan 17;8(1):155S-164S. doi: 10.3945/an.115.011114. Print 2017 Jan.","Fernandez MA","Adv Nutr","2017","2017/01/19","PMC5227968","","10.3945/an.115.011114"
"29555333","Nutritional patterns associated with the maintenance of neurocognitive functions and the risk of dementia and Alzheimer's disease: A focus on human studies","Pistollato F, Iglesias RC, Ruiz R, Aparicio S, Crespo J, Lopez LD, Manna PP, Giampieri F, Battino M.","Pharmacol Res. 2018 May;131:32-43. doi: 10.1016/j.phrs.2018.03.012. Epub 2018 Mar 16.","Pistollato F","Pharmacol Res","2018","2018/03/21","","","10.1016/j.phrs.2018.03.012"
"28293920","The Intriguing Link between the Intestinal Microbiota and Cardiovascular Disease","Lippi G, Danese E, Mattiuzzi C, Favaloro EJ.","Semin Thromb Hemost. 2017 Sep;43(6):609-613. doi: 10.1055/s-0036-1597903. Epub 2017 Mar 14.","Lippi G","Semin Thromb Hemost","2017","2017/03/16","","","10.1055/s-0036-1597903"
"25529048","The influence of the human microbiome and probiotics on cardiovascular health","Ettinger G, MacDonald K, Reid G, Burton JP.","Gut Microbes. 2014;5(6):719-28. doi: 10.4161/19490976.2014.983775.","Ettinger G","Gut Microbes","2014","2014/12/23","PMC4615746","","10.4161/19490976.2014.983775"
"31894861","Metabolic endotoxemia and cardiovascular disease: A systematic review about potential roles of prebiotics and probiotics","Moludi J, Maleki V, Jafari-Vayghyan H, Vaghef-Mehrabany E, Alizadeh M.","Clin Exp Pharmacol Physiol. 2020 Jun;47(6):927-939. doi: 10.1111/1440-1681.13250. Epub 2020 Jan 24.","Moludi J","Clin Exp Pharmacol Physiol","2020","2020/01/03","","","10.1111/1440-1681.13250"
"24330093","Effect of probiotics on biomarkers of cardiovascular disease: implications for heart-healthy diets","DiRienzo DB.","Nutr Rev. 2014 Jan;72(1):18-29. doi: 10.1111/nure.12084. Epub 2013 Dec 13.","DiRienzo DB","Nutr Rev","2014","2013/12/17","","","10.1111/nure.12084"
"33926590","Circulating bile acids as a link between the gut microbiota and cardiovascular health: impact of prebiotics, probiotics and polyphenol-rich foods","Pushpass RG, Alzoufairi S, Jackson KG, Lovegrove JA.","Nutr Res Rev. 2021 Apr 30:1-20. doi: 10.1017/S0954422421000081. Online ahead of print.","Pushpass RG","Nutr Res Rev","2021","2021/04/30","","","10.1017/S0954422421000081"
"33166735","Dysbiosis is one of the risk factor for stroke and cognitive impairment and potential target for treatment","Koszewicz M, Jaroch J, Brzecka A, Ejma M, Budrewicz S, Mikhaleva LM, Muresanu C, Schield P, Somasundaram SG, Kirkland CE, Avila-Rodriguez M, Aliev G.","Pharmacol Res. 2021 Feb;164:105277. doi: 10.1016/j.phrs.2020.105277. Epub 2020 Nov 7.","Koszewicz M","Pharmacol Res","2021","2020/11/09","","","10.1016/j.phrs.2020.105277"
"27885969","36th International Symposium on Intensive Care and Emergency Medicine : Brussels, Belgium. 15-18 March 2016","Bateman RM, Sharpe MD, Jagger JE, Ellis CG, Solé-Violán J, López-Rodríguez M, Herrera-Ramos E, Ruíz-Hernández J, Borderías L, Horcajada J, González-Quevedo N, Rajas O, Briones M, Rodríguez de Castro F, Rodríguez Gallego C, Esen F, Orhun G, Ergin Ozcan P, Senturk E, Ugur Yilmaz C, Orhan N, Arican N, Kaya M, Kucukerden M, Giris M, Akcan U, Bilgic Gazioglu S, Tuzun E, Riff R, Naamani O, Douvdevani A, Takegawa R, Yoshida H, Hirose T, Yamamoto N, Hagiya H, Ojima M, Akeda Y, Tasaki O, Tomono K, Shimazu T, Ono S, Kubo T, Suda S, Ueno T, Ikeda T, Hirose T, Ogura H, Takahashi H, Ojima M, Kang J, Nakamura Y, Kojima T, Shimazu T, Ikeda T, Suda S, Izutani Y, Ueno T, Ono S, Taniguchi T, O M, Dinter C, Lotz J, Eilers B, Wissmann C, Lott R, Meili MM, Schuetz PS, Hawa H, Sharshir M, Aburageila M, Salahuddin N, Chantziara V, Georgiou S, Tsimogianni A, Alexandropoulos P, Vassi A, Lagiou F, Valta M, Micha G, Chinou E, Michaloudis G, Kodaira A, Ikeda T, Ono S, Ueno T, Suda S, Izutani Y, Imaizumi H, De la Torre-Prados MV, Garcia-De la Torre A, Enguix-Armada A, Puerto-Morlan A, Perez-Valero V, Garcia-Alcantara A, Bolton N, Dudziak J, Bonney S, Tridente A, Nee P, et al.","Crit Care. 2016 Apr 20;20(Suppl 2):94. doi: 10.1186/s13054-016-1208-6.","Bateman RM","Crit Care","2016","2016/11/26","PMC5493079","","10.1186/s13054-016-1208-6"
"34575864","Interactions between the Gut Microbiome, Lung Conditions, and Coronary Heart Disease and How Probiotics Affect These","Wassenaar TM, Juncos VA, Zimmermann K.","Int J Mol Sci. 2021 Sep 8;22(18):9700. doi: 10.3390/ijms22189700.","Wassenaar TM","Int J Mol Sci","2021","2021/09/28","PMC8472021","","10.3390/ijms22189700"
"34358838","Effects of probiotics on body adiposity and cardiovascular risk markers in individuals with overweight and obesity: A systematic review and meta-analysis of randomized controlled trials","Pontes KSDS, Guedes MR, Cunha MRD, Mattos SS, Barreto Silva MI, Neves MF, Marques BCAA, Klein MRST.","Clin Nutr. 2021 Aug;40(8):4915-4931. doi: 10.1016/j.clnu.2021.06.023. Epub 2021 Jul 3.","Pontes KSDS","Clin Nutr","2021","2021/08/06","","","10.1016/j.clnu.2021.06.023"
"30283612","Dietary Supplements and Cardiovascular Diseases","Bronzato S, Durante A.","Int J Prev Med. 2018 Sep 17;9:80. doi: 10.4103/ijpvm.IJPVM_179_17. eCollection 2018.","Bronzato S","Int J Prev Med","2018","2018/10/05","PMC6151970","","10.4103/ijpvm.IJPVM_179_17"
"31697015","The Potential of Probiotics in the Prevention and Treatment of Atherosclerosis","O'Morain VL, Ramji DP.","Mol Nutr Food Res. 2020 Feb;64(4):e1900797. doi: 10.1002/mnfr.201900797. Epub 2019 Nov 7.","O'Morain VL","Mol Nutr Food Res","2020","2019/11/08","","","10.1002/mnfr.201900797"
"29997362","Gut Microbiota and Cardiovascular Uremic Toxicities","Velasquez MT, Centron P, Barrows I, Dwivedi R, Raj DS.","Toxins (Basel). 2018 Jul 11;10(7):287. doi: 10.3390/toxins10070287.","Velasquez MT","Toxins (Basel)","2018","2018/07/13","PMC6071268","","10.3390/toxins10070287"
"34202210","Lights and Shadows of Microbiota Modulation and Cardiovascular Risk in HIV Patients","Villoslada-Blanco P, Pérez-Matute P, Oteo JA.","Int J Environ Res Public Health. 2021 Jun 25;18(13):6837. doi: 10.3390/ijerph18136837.","Villoslada-Blanco P","Int J Environ Res Public Health","2021","2021/07/02","PMC8297340","","10.3390/ijerph18136837"
"35056557","Gut Dysbiosis and Immune System in Atherosclerotic Cardiovascular Disease (ACVD)","Yoo JY, Sniffen S, McGill Percy KC, Pallaval VB, Chidipi B.","Microorganisms. 2022 Jan 5;10(1):108. doi: 10.3390/microorganisms10010108.","Yoo JY","Microorganisms","2022","2022/01/21","PMC8780459","","10.3390/microorganisms10010108"
"24762311","Role of altered intestinal microbiota in systemic inflammation and cardiovascular disease in chronic kidney disease","Mafra D, Lobo JC, Barros AF, Koppe L, Vaziri ND, Fouque D.","Future Microbiol. 2014;9(3):399-410. doi: 10.2217/fmb.13.165.","Mafra D","Future Microbiol","2014","2014/04/26","","","10.2217/fmb.13.165"
"29496593","Gut microbiota in kidney disease and hypertension","Antza C, Stabouli S, Kotsis V.","Pharmacol Res. 2018 Apr;130:198-203. doi: 10.1016/j.phrs.2018.02.028. Epub 2018 Feb 26.","Antza C","Pharmacol Res","2018","2018/03/03","","","10.1016/j.phrs.2018.02.028"
"33705556","The microbiome in obstructive sleep apnea","Cai Y, Juszczak HM, Cope EK, Goldberg AN.","Sleep. 2021 Aug 13;44(8):zsab061. doi: 10.1093/sleep/zsab061.","Cai Y","Sleep","2021","2021/03/11","","","10.1093/sleep/zsab061"
"34142885","Ethanol: striking the cardiovascular system by harming the gut microbiota","Silva CBP, Elias-Oliveira J, McCarthy CG, Wenceslau CF, Carlos D, Tostes RC.","Am J Physiol Heart Circ Physiol. 2021 Aug 1;321(2):H275-H291. doi: 10.1152/ajpheart.00225.2021. Epub 2021 Jun 18.","Silva CBP","Am J Physiol Heart Circ Physiol","2021","2021/06/18","PMC8410123","","10.1152/ajpheart.00225.2021"
"30469478","Inflammation-Accelerated Senescence and the Cardiovascular System: Mechanisms and Perspectives","Del Pinto R, Ferri C.","Int J Mol Sci. 2018 Nov 22;19(12):3701. doi: 10.3390/ijms19123701.","Del Pinto R","Int J Mol Sci","2018","2018/11/25","PMC6321367","","10.3390/ijms19123701"
"26999199","Probiotics and Prebiotics: Present Status and Future Perspectives on Metabolic Disorders","Yoo JY, Kim SS.","Nutrients. 2016 Mar 18;8(3):173. doi: 10.3390/nu8030173.","Yoo JY","Nutrients","2016","2016/03/22","PMC4808900","","10.3390/nu8030173"
"32805390","Association between the gut and oral microbiome with obesity","Gasmi Benahmed A, Gasmi A, Doşa A, Chirumbolo S, Mujawdiya PK, Aaseth J, Dadar M, Bjørklund G.","Anaerobe. 2021 Aug;70:102248. doi: 10.1016/j.anaerobe.2020.102248. Epub 2020 Aug 14.","Gasmi Benahmed A","Anaerobe","2021","2020/08/18","","","10.1016/j.anaerobe.2020.102248"
"33567710","Nutritional Approach Targeting Gut Microbiota in NAFLD-To Date","Moszak M, Szulińska M, Walczak-Gałęzewska M, Bogdański P.","Int J Environ Res Public Health. 2021 Feb 8;18(4):1616. doi: 10.3390/ijerph18041616.","Moszak M","Int J Environ Res Public Health","2021","2021/02/11","PMC7916007","","10.3390/ijerph18041616"
"31909364","Effect of Diet on the Gut Microbiota Associated with Obesity","Kim B, Choi HN, Yim JE.","J Obes Metab Syndr. 2019 Dec;28(4):216-224. doi: 10.7570/jomes.2019.28.4.216. Epub 2019 Nov 30.","Kim B","J Obes Metab Syndr","2019","2020/01/08","PMC6939700","","10.7570/jomes.2019.28.4.216"
"32755308","Microbiota on biotics: probiotics, prebiotics, and synbiotics to optimize growth and metabolism","Edwards PT, Kashyap PC, Preidis GA.","Am J Physiol Gastrointest Liver Physiol. 2020 Sep 1;319(3):G382-G390. doi: 10.1152/ajpgi.00028.2020. Epub 2020 Aug 5.","Edwards PT","Am J Physiol Gastrointest Liver Physiol","2020","2020/08/07","PMC7509258","","10.1152/ajpgi.00028.2020"
"34296573","[Advances of Akkermansia muciniphila in regulating host functions]","Ma WY, Feng SX, Chen NH.","Zhongguo Zhong Yao Za Zhi. 2021 Jun;46(11):2760-2765. doi: 10.19540/j.cnki.cjcmm.20210119.601.","Ma WY","Zhongguo Zhong Yao Za Zhi","2021","2021/07/23","","","10.19540/j.cnki.cjcmm.20210119.601"
"34927261","Etiology and management of Alzheimer's disease: Potential role of gut microbiota modulation with probiotics supplementation","Lekchand Dasriya V, Samtiya M, Dhewa T, Puniya M, Kumar S, Ranveer S, Chaudhary V, Vij S, Behare P, Singh N, Aluko RE, Puniya AK.","J Food Biochem. 2022 Jan;46(1):e14043. doi: 10.1111/jfbc.14043. Epub 2021 Dec 19.","Lekchand Dasriya V","J Food Biochem","2022","2021/12/20","","","10.1111/jfbc.14043"
"26125644","Gut microbiota in hypertension","Jose PA, Raj D.","Curr Opin Nephrol Hypertens. 2015 Sep;24(5):403-9. doi: 10.1097/MNH.0000000000000149.","Jose PA","Curr Opin Nephrol Hypertens","2015","2015/07/01","PMC4578629","NIHMS714875","10.1097/MNH.0000000000000149"
"28646806","Potential of Probiotics in Hypercholesterolemia: A Review of In Vitro and In Vivo Findings","Sharma S, Puri S, Kurpad AV.","Altern Ther Health Med. 2018 Mar;24(2):36-43.","Sharma S","Altern Ther Health Med","2018","2017/06/25","","",""
"29378252","Gut microbiota, hypertension and chronic kidney disease: Recent advances","Sircana A, De Michieli F, Parente R, Framarin L, Leone N, Berrutti M, Paschetta E, Bongiovanni D, Musso G.","Pharmacol Res. 2019 Jun;144:390-408. doi: 10.1016/j.phrs.2018.01.013. Epub 2018 Jan 31.","Sircana A","Pharmacol Res","2019","2018/01/30","","","10.1016/j.phrs.2018.01.013"
"30881232","Chronic Kidney Disease: The Gut-Kidney Connection?","","Integr Med (Encinitas). 2017 Apr;16(2):14-16.","","Integr Med (Encinitas)","2017","2019/03/19","PMC6413637","",""
"29348256","Flavonoids, Dairy Foods, and Cardiovascular and Metabolic Health: A Review of Emerging Biologic Pathways","Mozaffarian D, Wu JHY.","Circ Res. 2018 Jan 19;122(2):369-384. doi: 10.1161/CIRCRESAHA.117.309008.","Mozaffarian D","Circ Res","2018","2018/01/20","PMC5781235","NIHMS930209","10.1161/CIRCRESAHA.117.309008"
"34681948","Probiotic Supplements: Their Strategies in the Therapeutic and Prophylactic of Human Life-Threatening Diseases","Youssef M, Ahmed HY, Zongo A, Korin A, Zhan F, Hady E, Umair M, Shahid Riaz Rajoka M, Xiong Y, Li B.","Int J Mol Sci. 2021 Oct 19;22(20):11290. doi: 10.3390/ijms222011290.","Youssef M","Int J Mol Sci","2021","2021/10/23","PMC8537706","","10.3390/ijms222011290"
"25875487","Dietary supplements and risk of cause-specific death, cardiovascular disease, and cancer: a protocol for a systematic review and network meta-analysis of primary prevention trials","Schwingshackl L, Hoffmann G, Buijsse B, Mittag T, Stelmach-Mardas M, Boeing H, Gottschald M, Dietrich S, Arregui M, Dias S.","Syst Rev. 2015 Mar 26;4:34. doi: 10.1186/s13643-015-0029-z.","Schwingshackl L","Syst Rev","2015","2015/04/16","PMC4379718","","10.1186/s13643-015-0029-z"
"22611376","Cholesterol-lowering probiotics as potential biotherapeutics for metabolic diseases","Kumar M, Nagpal R, Kumar R, Hemalatha R, Verma V, Kumar A, Chakraborty C, Singh B, Marotta F, Jain S, Yadav H.","Exp Diabetes Res. 2012;2012:902917. doi: 10.1155/2012/902917. Epub 2012 May 3.","Kumar M","Exp Diabetes Res","2012","2012/05/22","PMC3352670","","10.1155/2012/902917"
"23458264","The colon: an overlooked site for therapeutics in dialysis patients","Poesen R, Meijers B, Evenepoel P.","Semin Dial. 2013 May-Jun;26(3):323-32. doi: 10.1111/sdi.12082. Epub 2013 Mar 4.","Poesen R","Semin Dial","2013","2013/03/06","","","10.1111/sdi.12082"
"29946225","House dust mite-related respiratory allergies and probiotics: a narrative review","Fassio F, Guagnini F.","Clin Mol Allergy. 2018 Jun 19;16:15. doi: 10.1186/s12948-018-0092-9. eCollection 2018.","Fassio F","Clin Mol Allergy","2018","2018/06/28","PMC6006752","","10.1186/s12948-018-0092-9"
