PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28360349","Gut Microbiota in Cardiovascular Health and Disease","Tang WH, Kitai T, Hazen SL.","Circ Res. 2017 Mar 31;120(7):1183-1196. doi: 10.1161/CIRCRESAHA.117.309715.","Tang WH","Circ Res","2017","2017/04/01","PMC5390330","NIHMS857163","10.1161/CIRCRESAHA.117.309715"
"31469291","The gut microbiome and cardiovascular disease: current knowledge and clinical potential","Ahmad AF, Dwivedi G, O'Gara F, Caparros-Martin J, Ward NC.","Am J Physiol Heart Circ Physiol. 2019 Nov 1;317(5):H923-H938. doi: 10.1152/ajpheart.00376.2019. Epub 2019 Aug 30.","Ahmad AF","Am J Physiol Heart Circ Physiol","2019","2019/08/31","","","10.1152/ajpheart.00376.2019"
"31984651","The gut microbiota and its interactions with cardiovascular disease","Xu H, Wang X, Feng W, Liu Q, Zhou S, Liu Q, Cai L.","Microb Biotechnol. 2020 May;13(3):637-656. doi: 10.1111/1751-7915.13524. Epub 2020 Jan 26.","Xu H","Microb Biotechnol","2020","2020/01/28","PMC7111081","","10.1111/1751-7915.13524"
"29760448","The gut microbiota and the brain-gut-kidney axis in hypertension and chronic kidney disease","Yang T, Richards EM, Pepine CJ, Raizada MK.","Nat Rev Nephrol. 2018 Jul;14(7):442-456. doi: 10.1038/s41581-018-0018-2.","Yang T","Nat Rev Nephrol","2018","2018/05/16","PMC6385605","NIHMS1011524","10.1038/s41581-018-0018-2"
"29171095","The Gastrointestinal Microbiome: A Review","Barko PC, McMichael MA, Swanson KS, Williams DA.","J Vet Intern Med. 2018 Jan;32(1):9-25. doi: 10.1111/jvim.14875. Epub 2017 Nov 24.","Barko PC","J Vet Intern Med","2018","2017/11/25","PMC5787212","","10.1111/jvim.14875"
"30410105","Dietary metabolism, the gut microbiome, and heart failure","Tang WHW, Li DY, Hazen SL.","Nat Rev Cardiol. 2019 Mar;16(3):137-154. doi: 10.1038/s41569-018-0108-7.","Tang WHW","Nat Rev Cardiol","2019","2018/11/10","PMC6377322","NIHMS1008509","10.1038/s41569-018-0108-7"
"31955527","The mutual interplay of gut microbiota, diet and human disease","Illiano P, Brambilla R, Parolini C.","FEBS J. 2020 Mar;287(5):833-855. doi: 10.1111/febs.15217. Epub 2020 Feb 3.","Illiano P","FEBS J","2020","2020/01/20","","","10.1111/febs.15217"
"32062353","The gut microbiome in coronary artery disease and heart failure: Current knowledge and future directions","Trøseid M, Andersen GØ, Broch K, Hov JR.","EBioMedicine. 2020 Feb;52:102649. doi: 10.1016/j.ebiom.2020.102649. Epub 2020 Feb 12.","Trøseid M","EBioMedicine","2020","2020/02/17","PMC7016372","","10.1016/j.ebiom.2020.102649"
"28778332","Estrogen-gut microbiome axis: Physiological and clinical implications","Baker JM, Al-Nakkash L, Herbst-Kralovetz MM.","Maturitas. 2017 Sep;103:45-53. doi: 10.1016/j.maturitas.2017.06.025. Epub 2017 Jun 23.","Baker JM","Maturitas","2017","2017/08/06","","","10.1016/j.maturitas.2017.06.025"
"31023434","Intestinal Microbiota in Cardiovascular Health and Disease: JACC State-of-the-Art Review","Tang WHW, Bäckhed F, Landmesser U, Hazen SL.","J Am Coll Cardiol. 2019 Apr 30;73(16):2089-2105. doi: 10.1016/j.jacc.2019.03.024.","Tang WHW","J Am Coll Cardiol","2019","2019/04/27","PMC6518422","NIHMS1524227","10.1016/j.jacc.2019.03.024"
