PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25568330","Health benefits of different sport disciplines for adults: systematic review of observational and intervention studies with meta-analysis","Oja P, Titze S, Kokko S, Kujala UM, Heinonen A, Kelly P, Koski P, Foster C.","Br J Sports Med. 2015 Apr;49(7):434-40. doi: 10.1136/bjsports-2014-093885. Epub 2015 Jan 7.","Oja P","Br J Sports Med","2015","2015/01/09","","","10.1136/bjsports-2014-093885"
"30949921","Diet and Inflammation in Cognitive Ageing and Alzheimer's Disease","McGrattan AM, McGuinness B, McKinley MC, Kee F, Passmore P, Woodside JV, McEvoy CT.","Curr Nutr Rep. 2019 Jun;8(2):53-65. doi: 10.1007/s13668-019-0271-4.","McGrattan AM","Curr Nutr Rep","2019","2019/04/06","PMC6486891","","10.1007/s13668-019-0271-4"
"28164452","Sleep-obesity relation: underlying mechanisms and consequences for treatment","St-Onge MP.","Obes Rev. 2017 Feb;18 Suppl 1:34-39. doi: 10.1111/obr.12499.","St-Onge MP","Obes Rev","2017","2017/02/07","","","10.1111/obr.12499"
"31269727","Bioactive Compounds of Strawberry and Blueberry and Their Potential Health Effects Based on Human Intervention Studies: A Brief Overview","Miller K, Feucht W, Schmid M.","Nutrients. 2019 Jul 2;11(7):1510. doi: 10.3390/nu11071510.","Miller K","Nutrients","2019","2019/07/05","PMC6683271","","10.3390/nu11071510"
"26026398","The cardiovascular benefits of dark chocolate","Kerimi A, Williamson G.","Vascul Pharmacol. 2015 Aug;71:11-5. doi: 10.1016/j.vph.2015.05.011. Epub 2015 May 27.","Kerimi A","Vascul Pharmacol","2015","2015/06/01","","","10.1016/j.vph.2015.05.011"
"27165093","Risk factors for gestational diabetes: is prevention possible?","Zhang C, Rawal S, Chong YS.","Diabetologia. 2016 Jul;59(7):1385-1390. doi: 10.1007/s00125-016-3979-3. Epub 2016 May 10.","Zhang C","Diabetologia","2016","2016/05/12","PMC6364673","NIHMS993330","10.1007/s00125-016-3979-3"
"26742071","Polyphenols and Glycemic Control","Kim Y, Keogh JB, Clifton PM.","Nutrients. 2016 Jan 5;8(1):17. doi: 10.3390/nu8010017.","Kim Y","Nutrients","2016","2016/01/08","PMC4728631","","10.3390/nu8010017"
"32232406","Does Consumption of Fermented Foods Modify the Human Gut Microbiota?","Stiemsma LT, Nakamura RE, Nguyen JG, Michels KB.","J Nutr. 2020 Jul 1;150(7):1680-1692. doi: 10.1093/jn/nxaa077.","Stiemsma LT","J Nutr","2020","2020/04/02","PMC7330458","","10.1093/jn/nxaa077"
"28242200","Nutritional Psychiatry: Where to Next?","Jacka FN.","EBioMedicine. 2017 Mar;17:24-29. doi: 10.1016/j.ebiom.2017.02.020. Epub 2017 Feb 21.","Jacka FN","EBioMedicine","2017","2017/03/01","PMC5360575","","10.1016/j.ebiom.2017.02.020"
"28157818","Nurses' and Physicians' Perceptions of Nurse-Physician Collaboration: A Systematic Review","House S, Havens D.","J Nurs Adm. 2017 Mar;47(3):165-171. doi: 10.1097/NNA.0000000000000460.","House S","J Nurs Adm","2017","2017/02/04","","","10.1097/NNA.0000000000000460"
"28993574","Systematic review of the association between physical activity and burnout","Naczenski LM, Vries JD, Hooff MLMV, Kompier MAJ.","J Occup Health. 2017 Nov 25;59(6):477-494. doi: 10.1539/joh.17-0050-RA. Epub 2017 Oct 7.","Naczenski LM","J Occup Health","2017","2017/10/11","PMC5721270","","10.1539/joh.17-0050-RA"
"24667063","SYRCLE's risk of bias tool for animal studies","Hooijmans CR, Rovers MM, de Vries RB, Leenaars M, Ritskes-Hoitinga M, Langendam MW.","BMC Med Res Methodol. 2014 Mar 26;14:43. doi: 10.1186/1471-2288-14-43.","Hooijmans CR","BMC Med Res Methodol","2014","2014/03/27","PMC4230647","","10.1186/1471-2288-14-43"
"30251184","The Gut Microbiota and Dysbiosis in Autism Spectrum Disorders","Hughes HK, Rose D, Ashwood P.","Curr Neurol Neurosci Rep. 2018 Sep 24;18(11):81. doi: 10.1007/s11910-018-0887-6.","Hughes HK","Curr Neurol Neurosci Rep","2018","2018/09/26","PMC6855251","NIHMS1057996","10.1007/s11910-018-0887-6"
"33525447","Vitamin D Supplementation to Prevent COVID-19 Infections and Deaths-Accumulating Evidence from Epidemiological and Intervention Studies Calls for Immediate Action","Brenner H.","Nutrients. 2021 Jan 28;13(2):411. doi: 10.3390/nu13020411.","Brenner H","Nutrients","2021","2021/02/02","PMC7911431","","10.3390/nu13020411"
"33541846","Dietary patterns and biomarkers of oxidative stress and inflammation: A systematic review of observational and intervention studies","Aleksandrova K, Koelman L, Rodrigues CE.","Redox Biol. 2021 Jun;42:101869. doi: 10.1016/j.redox.2021.101869. Epub 2021 Jan 22.","Aleksandrova K","Redox Biol","2021","2021/02/05","PMC8113044","","10.1016/j.redox.2021.101869"
"29580974","The safety of green tea and green tea extract consumption in adults - Results of a systematic review","Hu J, Webster D, Cao J, Shao A.","Regul Toxicol Pharmacol. 2018 Jun;95:412-433. doi: 10.1016/j.yrtph.2018.03.019. Epub 2018 Mar 24.","Hu J","Regul Toxicol Pharmacol","2018","2018/03/28","","","10.1016/j.yrtph.2018.03.019"
"29293954","Obesity intervention programs among adolescents using social cognitive theory: a systematic literature review","Bagherniya M, Taghipour A, Sharma M, Sahebkar A, Contento IR, Keshavarz SA, Mostafavi Darani F, Safarian M.","Health Educ Res. 2018 Feb 1;33(1):26-39. doi: 10.1093/her/cyx079.","Bagherniya M","Health Educ Res","2018","2018/01/03","","","10.1093/her/cyx079"
"31754898","Hyperglycemia During Pregnancy and Long-Term Offspring Outcomes","Bianco ME, Josefson JL.","Curr Diab Rep. 2019 Nov 21;19(12):143. doi: 10.1007/s11892-019-1267-6.","Bianco ME","Curr Diab Rep","2019","2019/11/23","PMC7008468","NIHMS1552660","10.1007/s11892-019-1267-6"
"24261532","Bioavailability and potential uses of vegetarian sources of omega-3 fatty acids: a review of the literature","Lane K, Derbyshire E, Li W, Brennan C.","Crit Rev Food Sci Nutr. 2014;54(5):572-9. doi: 10.1080/10408398.2011.596292.","Lane K","Crit Rev Food Sci Nutr","2014","2013/11/23","","","10.1080/10408398.2011.596292"
"31976613","PPIE in intervention studies: Randomized trials and clinical quality improvement","LeMaster JW.","Health Expect. 2020 Feb;23(1):1-2. doi: 10.1111/hex.13009.","LeMaster JW","Health Expect","2020","2020/01/25","PMC6978877","","10.1111/hex.13009"
"31745935","Intervention Studies in Humans","Olmedilla-Alonso B.","Methods Mol Biol. 2020;2083:363-373. doi: 10.1007/978-1-4939-9952-1_27.","Olmedilla-Alonso B","Methods Mol Biol","2020","2019/11/21","","","10.1007/978-1-4939-9952-1_27"
"31909365","Nutritional Management in Childhood Obesity","Kim J, Lim H.","J Obes Metab Syndr. 2019 Dec;28(4):225-235. doi: 10.7570/jomes.2019.28.4.225. Epub 2019 Dec 30.","Kim J","J Obes Metab Syndr","2019","2020/01/08","PMC6939706","","10.7570/jomes.2019.28.4.225"
"32017273","Vitamin E and cancer prevention: Studies with different forms of tocopherols and tocotrienols","Yang CS, Luo P, Zeng Z, Wang H, Malafa M, Suh N.","Mol Carcinog. 2020 Apr;59(4):365-389. doi: 10.1002/mc.23160. Epub 2020 Feb 3.","Yang CS","Mol Carcinog","2020","2020/02/05","PMC7255062","NIHMS1551139","10.1002/mc.23160"
"26916699","Motivation for physical activity and exercise in severe mental illness: A systematic review of intervention studies","Farholm A, Sørensen M.","Int J Ment Health Nurs. 2016 Jun;25(3):194-205. doi: 10.1111/inm.12214. Epub 2016 Feb 25.","Farholm A","Int J Ment Health Nurs","2016","2016/02/27","","","10.1111/inm.12214"
"30732571","How diet, physical activity and psychosocial well-being interact in women with gestational diabetes mellitus: an integrative review","Gilbert L, Gross J, Lanzi S, Quansah DY, Puder J, Horsch A.","BMC Pregnancy Childbirth. 2019 Feb 7;19(1):60. doi: 10.1186/s12884-019-2185-y.","Gilbert L","BMC Pregnancy Childbirth","2019","2019/02/09","PMC6367798","","10.1186/s12884-019-2185-y"
"24969147","Sensory interventions for children with autism","Schaaf RC, Case-Smith J.","J Comp Eff Res. 2014 May;3(3):225-7. doi: 10.2217/cer.14.18.","Schaaf RC","J Comp Eff Res","2014","2014/06/28","","","10.2217/cer.14.18"
"29641454","The Potential Health Benefits of Noni Juice: A Review of Human Intervention Studies","West BJ, Deng S, Isami F, Uwaya A, Jensen CJ.","Foods. 2018 Apr 11;7(4):58. doi: 10.3390/foods7040058.","West BJ","Foods","2018","2018/04/12","PMC5920423","","10.3390/foods7040058"
"30926562","The impact of physical activity and sedentary behaviors on frailty levels","Kehler DS, Theou O.","Mech Ageing Dev. 2019 Jun;180:29-41. doi: 10.1016/j.mad.2019.03.004. Epub 2019 Mar 26.","Kehler DS","Mech Ageing Dev","2019","2019/03/31","","","10.1016/j.mad.2019.03.004"
