PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32110880","The Gut Microbiota and Its Implication in the Development of Atherosclerosis and Related Cardiovascular Diseases","Sanchez-Rodriguez E, Egea-Zorrilla A, Plaza-Díaz J, Aragón-Vela J, Muñoz-Quezada S, Tercedor-Sánchez L, Abadia-Molina F.","Nutrients. 2020 Feb 26;12(3):605. doi: 10.3390/nu12030605.","Sanchez-Rodriguez E","Nutrients","2020","2020/03/01","PMC7146472","","10.3390/nu12030605"
"32726990","Mediterranean Diet Effects on Type 2 Diabetes Prevention, Disease Progression, and Related Mechanisms. A Review","Martín-Peláez S, Fito M, Castaner O.","Nutrients. 2020 Jul 27;12(8):2236. doi: 10.3390/nu12082236.","Martín-Peláez S","Nutrients","2020","2020/07/31","PMC7468821","","10.3390/nu12082236"
"28829397","Precision Nutrition: A Review of Personalized Nutritional Approaches for the Prevention and Management of Metabolic Syndrome","de Toro-Martín J, Arsenault BJ, Després JP, Vohl MC.","Nutrients. 2017 Aug 22;9(8):913. doi: 10.3390/nu9080913.","de Toro-Martín J","Nutrients","2017","2017/08/23","PMC5579706","","10.3390/nu9080913"
"31960663","Nutraceutical functions of beta-glucans in human nutrition","Ciecierska A, Drywień ME, Hamulka J, Sadkowski T.","Rocz Panstw Zakl Hig. 2019;70(4):315-324. doi: 10.32394/rpzh.2019.0082.","Ciecierska A","Rocz Panstw Zakl Hig","2019","2020/01/22","","","10.32394/rpzh.2019.0082"
"29854813","Probiotic Species in the Modulation of Gut Microbiota: An Overview","Azad MAK, Sarker M, Li T, Yin J.","Biomed Res Int. 2018 May 8;2018:9478630. doi: 10.1155/2018/9478630. eCollection 2018.","Azad MAK","Biomed Res Int","2018","2018/06/02","PMC5964481","","10.1155/2018/9478630"
"32438689","The Firmicutes/Bacteroidetes Ratio: A Relevant Marker of Gut Dysbiosis in Obese Patients?","Magne F, Gotteland M, Gauthier L, Zazueta A, Pesoa S, Navarrete P, Balamurugan R.","Nutrients. 2020 May 19;12(5):1474. doi: 10.3390/nu12051474.","Magne F","Nutrients","2020","2020/05/23","PMC7285218","","10.3390/nu12051474"
"29244059","Health Benefits of the Mediterranean Diet: Metabolic and Molecular Mechanisms","Tosti V, Bertozzi B, Fontana L.","J Gerontol A Biol Sci Med Sci. 2018 Mar 2;73(3):318-326. doi: 10.1093/gerona/glx227.","Tosti V","J Gerontol A Biol Sci Med Sci","2018","2017/12/16","PMC7190876","","10.1093/gerona/glx227"
"33671813","Role of Gut Microbiota, Probiotics and Prebiotics in the Cardiovascular Diseases","Oniszczuk A, Oniszczuk T, Gancarz M, Szymańska J.","Molecules. 2021 Feb 22;26(4):1172. doi: 10.3390/molecules26041172.","Oniszczuk A","Molecules","2021","2021/03/06","PMC7926819","","10.3390/molecules26041172"
"33062141","Implication of Gut Microbiota in Cardiovascular Diseases","Zhou W, Cheng Y, Zhu P, Nasser MI, Zhang X, Zhao M.","Oxid Med Cell Longev. 2020 Sep 26;2020:5394096. doi: 10.1155/2020/5394096. eCollection 2020.","Zhou W","Oxid Med Cell Longev","2020","2020/10/16","PMC7533754","","10.1155/2020/5394096"
"29167659","Balancing Herbal Medicine and Functional Food for Prevention and Treatment of Cardiometabolic Diseases through Modulating Gut Microbiota","Lyu M, Wang YF, Fan GW, Wang XY, Xu SY, Zhu Y.","Front Microbiol. 2017 Nov 8;8:2146. doi: 10.3389/fmicb.2017.02146. eCollection 2017.","Lyu M","Front Microbiol","2017","2017/11/24","PMC5682319","","10.3389/fmicb.2017.02146"
"31394805","Effects of Olive Oil and Its Minor Components on Cardiovascular Diseases, Inflammation, and Gut Microbiota","Marcelino G, Hiane PA, Freitas KC, Santana LF, Pott A, Donadon JR, Guimarães RCA.","Nutrients. 2019 Aug 7;11(8):1826. doi: 10.3390/nu11081826.","Marcelino G","Nutrients","2019","2019/08/10","PMC6722810","","10.3390/nu11081826"
"30115967","Exercise benefits in cardiovascular disease: beyond attenuation of traditional risk factors","Fiuza-Luces C, Santos-Lozano A, Joyner M, Carrera-Bastos P, Picazo O, Zugaza JL, Izquierdo M, Ruilope LM, Lucia A.","Nat Rev Cardiol. 2018 Dec;15(12):731-743. doi: 10.1038/s41569-018-0065-1.","Fiuza-Luces C","Nat Rev Cardiol","2018","2018/08/18","","","10.1038/s41569-018-0065-1"
"32106124","Gut microbiota and metabolic syndrome","Wang PX, Deng XR, Zhang CH, Yuan HJ.","Chin Med J (Engl). 2020 Apr 5;133(7):808-816. doi: 10.1097/CM9.0000000000000696.","Wang PX","Chin Med J (Engl)","2020","2020/02/28","PMC7147654","","10.1097/CM9.0000000000000696"
"26031780","Nutrition and Atherosclerosis","Torres N, Guevara-Cruz M, Velázquez-Villegas LA, Tovar AR.","Arch Med Res. 2015 Jul;46(5):408-26. doi: 10.1016/j.arcmed.2015.05.010. Epub 2015 May 29.","Torres N","Arch Med Res","2015","2015/06/03","","","10.1016/j.arcmed.2015.05.010"
"32108960","Gut microbiota in atherosclerosis: focus on trimethylamine N-oxide","Zhu Y, Li Q, Jiang H.","APMIS. 2020 May;128(5):353-366. doi: 10.1111/apm.13038. Epub 2020 Mar 30.","Zhu Y","APMIS","2020","2020/02/29","PMC7318354","","10.1111/apm.13038"
"33807343","The Impact of CKD on Uremic Toxins and Gut Microbiota","Rysz J, Franczyk B, Ławiński J, Olszewski R, Ciałkowska-Rysz A, Gluba-Brzózka A.","Toxins (Basel). 2021 Mar 31;13(4):252. doi: 10.3390/toxins13040252.","Rysz J","Toxins (Basel)","2021","2021/04/03","PMC8067083","","10.3390/toxins13040252"
"31864969","Obesity: A preventable, treatable, but relapsing disease","De Lorenzo A, Romano L, Di Renzo L, Di Lorenzo N, Cenname G, Gualtieri P.","Nutrition. 2020 Mar;71:110615. doi: 10.1016/j.nut.2019.110615. Epub 2019 Oct 17.","De Lorenzo A","Nutrition","2020","2019/12/23","","","10.1016/j.nut.2019.110615"
"31161760","Gut Microbiota and Ischemic Stroke: The Role of Trimethylamine N-Oxide","Nam HS.","J Stroke. 2019 May;21(2):151-159. doi: 10.5853/jos.2019.00472. Epub 2019 May 31.","Nam HS","J Stroke","2019","2019/06/05","PMC6549071","","10.5853/jos.2019.00472"
"33590776","The contribution of gut bacterial metabolites in the human immune signaling pathway of non-communicable diseases","Hosseinkhani F, Heinken A, Thiele I, Lindenburg PW, Harms AC, Hankemeier T.","Gut Microbes. 2021 Jan-Dec;13(1):1-22. doi: 10.1080/19490976.2021.1882927.","Hosseinkhani F","Gut Microbes","2021","2021/02/16","PMC7899087","","10.1080/19490976.2021.1882927"
"30654461","Polyphenol Health Effects on Cardiovascular and Neurodegenerative Disorders: A Review and Meta-Analysis","Potì F, Santi D, Spaggiari G, Zimetti F, Zanotti I.","Int J Mol Sci. 2019 Jan 16;20(2):351. doi: 10.3390/ijms20020351.","Potì F","Int J Mol Sci","2019","2019/01/19","PMC6359281","","10.3390/ijms20020351"
"28216567","Wine Flavonoids in Health and Disease Prevention","Fernandes I, Pérez-Gregorio R, Soares S, Mateus N, de Freitas V.","Molecules. 2017 Feb 14;22(2):292. doi: 10.3390/molecules22020292.","Fernandes I","Molecules","2017","2017/02/21","PMC6155685","","10.3390/molecules22020292"
"33992045","The anti-obesity and health-promoting effects of tea and coffee","Sirotkin AV, Kolesárová A.","Physiol Res. 2021 Apr 30;70(2):161-168. doi: 10.33549/physiolres.934674.","Sirotkin AV","Physiol Res","2021","2021/05/16","PMC8820582","","10.33549/physiolres.934674"
"32639240","Gut Microbiota and Cardiovascular Diseases: A Critical Review","Anselmi G, Gagliardi L, Egidi G, Leone S, Gasbarrini A, Miggiano GAD, Galiuto L.","Cardiol Rev. 2021 Jul-Aug 01;29(4):195-204. doi: 10.1097/CRD.0000000000000327.","Anselmi G","Cardiol Rev","2021","2020/07/09","","","10.1097/CRD.0000000000000327"
"27927713","High-Fiber Diet and Acetate Supplementation Change the Gut Microbiota and Prevent the Development of Hypertension and Heart Failure in Hypertensive Mice","Marques FZ, Nelson E, Chu PY, Horlock D, Fiedler A, Ziemann M, Tan JK, Kuruppu S, Rajapakse NW, El-Osta A, Mackay CR, Kaye DM.","Circulation. 2017 Mar 7;135(10):964-977. doi: 10.1161/CIRCULATIONAHA.116.024545. Epub 2016 Dec 7.","Marques FZ","Circulation","2017","2016/12/09","","","10.1161/CIRCULATIONAHA.116.024545"
"33816335","Role and Mechanism of Gut Microbiota in Human Disease","Chen Y, Zhou J, Wang L.","Front Cell Infect Microbiol. 2021 Mar 17;11:625913. doi: 10.3389/fcimb.2021.625913. eCollection 2021.","Chen Y","Front Cell Infect Microbiol","2021","2021/04/05","PMC8010197","","10.3389/fcimb.2021.625913"
"33401080","A cross-talk between gut microbiome, salt and hypertension","Naqvi S, Asar TO, Kumar V, Al-Abbasi FA, Alhayyani S, Kamal MA, Anwar F.","Biomed Pharmacother. 2021 Feb;134:111156. doi: 10.1016/j.biopha.2020.111156. Epub 2021 Jan 2.","Naqvi S","Biomed Pharmacother","2021","2021/01/05","","","10.1016/j.biopha.2020.111156"
"32825684","Anthocyanins: A Comprehensive Review of Their Chemical Properties and Health Effects on Cardiovascular and Neurodegenerative Diseases","Mattioli R, Francioso A, Mosca L, Silva P.","Molecules. 2020 Aug 21;25(17):3809. doi: 10.3390/molecules25173809.","Mattioli R","Molecules","2020","2020/08/23","PMC7504512","","10.3390/molecules25173809"
"30322864","The gut microbiome: Relationships with disease and opportunities for therapy","Durack J, Lynch SV.","J Exp Med. 2019 Jan 7;216(1):20-40. doi: 10.1084/jem.20180448. Epub 2018 Oct 15.","Durack J","J Exp Med","2019","2018/10/17","PMC6314516","","10.1084/jem.20180448"
"33693024","Kefir and Intestinal Microbiota Modulation: Implications in Human Health","Peluzio MDCG, Dias MME, Martinez JA, Milagro FI.","Front Nutr. 2021 Feb 22;8:638740. doi: 10.3389/fnut.2021.638740. eCollection 2021.","Peluzio MDCG","Front Nutr","2021","2021/03/11","PMC7938729","","10.3389/fnut.2021.638740"
"30094487","Nuts and Cardiovascular Disease Prevention","Coates AM, Hill AM, Tan SY.","Curr Atheroscler Rep. 2018 Aug 9;20(10):48. doi: 10.1007/s11883-018-0749-3.","Coates AM","Curr Atheroscler Rep","2018","2018/08/11","","","10.1007/s11883-018-0749-3"
"27409822","GUT MICROBIOTA, PREBIOTICS, PROBIOTICS, AND SYNBIOTICS IN MANAGEMENT OF OBESITY AND PREDIABETES: REVIEW OF RANDOMIZED CONTROLLED TRIALS","Barengolts E.","Endocr Pract. 2016 Oct;22(10):1224-1234. doi: 10.4158/EP151157.RA. Epub 2016 Jul 13.","Barengolts E","Endocr Pract","2016","2016/07/14","","","10.4158/EP151157.RA"
"33671569","Nutritional Components in Western Diet Versus Mediterranean Diet at the Gut Microbiota-Immune System Interplay. Implications for Health and Disease","García-Montero C, Fraile-Martínez O, Gómez-Lahoz AM, Pekarek L, Castellanos AJ, Noguerales-Fraguas F, Coca S, Guijarro LG, García-Honduvilla N, Asúnsolo A, Sanchez-Trujillo L, Lahera G, Bujan J, Monserrat J, Álvarez-Mon M, Álvarez-Mon MA, Ortega MA.","Nutrients. 2021 Feb 22;13(2):699. doi: 10.3390/nu13020699.","García-Montero C","Nutrients","2021","2021/03/06","PMC7927055","","10.3390/nu13020699"
"33017844","Intermittent Fasting Improves Cardiometabolic Risk Factors and Alters Gut Microbiota in Metabolic Syndrome Patients","Guo Y, Luo S, Ye Y, Yin S, Fan J, Xia M.","J Clin Endocrinol Metab. 2021 Jan 1;106(1):64-79. doi: 10.1210/clinem/dgaa644.","Guo Y","J Clin Endocrinol Metab","2021","2020/10/05","","","10.1210/clinem/dgaa644"
"30200592","Effects of Vegetable Proteins on Hypercholesterolemia and Gut Microbiota Modulation","Busnelli M, Manzini S, Sirtori CR, Chiesa G, Parolini C.","Nutrients. 2018 Sep 6;10(9):1249. doi: 10.3390/nu10091249.","Busnelli M","Nutrients","2018","2018/09/12","PMC6164761","","10.3390/nu10091249"
"29460534","Focus on periodontal disease and development of endocarditis","Carinci F, Martinelli M, Contaldo M, Santoro R, Pezzetti F, Lauritano D, Candotto V, Mucchi D, Palmieri A, Tagliabue A, Tettamanti L.","J Biol Regul Homeost Agents. 2018 Jan-Feb;32(2 Suppl. 1):143-147.","Carinci F","J Biol Regul Homeost Agents","2018","2018/02/21","","",""
"29630137","The cardiovascular macrophage: a missing link between gut microbiota and cardiovascular diseases?","Chen X, Zheng L, Zheng YQ, Yang QG, Lin Y, Ni FH, Li ZH.","Eur Rev Med Pharmacol Sci. 2018 Mar;22(6):1860-1872. doi: 10.26355/eurrev_201803_14607.","Chen X","Eur Rev Med Pharmacol Sci","2018","2018/04/10","","","10.26355/eurrev_201803_14607"
"31552753","A critical review on diet-induced microbiota changes and cardiovascular diseases","Jayachandran M, Chung SSM, Xu B.","Crit Rev Food Sci Nutr. 2020;60(17):2914-2925. doi: 10.1080/10408398.2019.1666792. Epub 2019 Sep 25.","Jayachandran M","Crit Rev Food Sci Nutr","2020","2019/09/26","","","10.1080/10408398.2019.1666792"
"34683334","Cardiovascular Health and The Intestinal Microbial Ecosystem: The Impact of Cardiovascular Therapies on The Gut Microbiota","Alhajri N, Khursheed R, Ali MT, Abu Izneid T, Al-Kabbani O, Al-Haidar MB, Al-Hemeiri F, Alhashmi M, Pottoo FH.","Microorganisms. 2021 Sep 23;9(10):2013. doi: 10.3390/microorganisms9102013.","Alhajri N","Microorganisms","2021","2021/10/23","PMC8541580","","10.3390/microorganisms9102013"
"28293920","The Intriguing Link between the Intestinal Microbiota and Cardiovascular Disease","Lippi G, Danese E, Mattiuzzi C, Favaloro EJ.","Semin Thromb Hemost. 2017 Sep;43(6):609-613. doi: 10.1055/s-0036-1597903. Epub 2017 Mar 14.","Lippi G","Semin Thromb Hemost","2017","2017/03/16","","","10.1055/s-0036-1597903"
"30016413","Microbiota-Host Crosstalk: A Bridge Between Cardiovascular Risk Factors, Diet, and Cardiovascular Disease","Amar J.","Am J Hypertens. 2018 Jul 16;31(8):941-944. doi: 10.1093/ajh/hpy067.","Amar J","Am J Hypertens","2018","2018/07/18","","","10.1093/ajh/hpy067"
"33390043","Developmental and Early Life Origins of Cardiometabolic Risk Factors: Novel Findings and Implications","Lurbe E, Ingelfinger J.","Hypertension. 2021 Feb;77(2):308-318. doi: 10.1161/HYPERTENSIONAHA.120.14592. Epub 2021 Jan 4.","Lurbe E","Hypertension","2021","2021/01/04","","","10.1161/HYPERTENSIONAHA.120.14592"
"34164427","Therapeutic and Improving Function of Lactobacilli in the Prevention and Treatment of Cardiovascular-Related Diseases: A Novel Perspective From Gut Microbiota","Zhao X, Zhong X, Liu X, Wang X, Gao X.","Front Nutr. 2021 Jun 7;8:693412. doi: 10.3389/fnut.2021.693412. eCollection 2021.","Zhao X","Front Nutr","2021","2021/06/24","PMC8215129","","10.3389/fnut.2021.693412"
"30971183","Gut Microbial Associations to Plasma Metabolites Linked to Cardiovascular Phenotypes and Risk","Kurilshikov A, van den Munckhof ICL, Chen L, Bonder MJ, Schraa K, Rutten JHW, Riksen NP, de Graaf J, Oosting M, Sanna S, Joosten LAB, van der Graaf M, Brand T, Koonen DPY, van Faassen M; LifeLines DEEP Cohort Study, BBMRI Metabolomics Consortium, Slagboom PE, Xavier RJ, Kuipers F, Hofker MH, Wijmenga C, Netea MG, Zhernakova A, Fu J.","Circ Res. 2019 Jun 7;124(12):1808-1820. doi: 10.1161/CIRCRESAHA.118.314642. Epub 2019 Apr 11.","Kurilshikov A","Circ Res","2019","2019/04/12","","","10.1161/CIRCRESAHA.118.314642"
"34220497","Gut Microbiota: A Novel Regulator of Cardiovascular Disease and Key Factor in the Therapeutic Effects of Flavonoids","Li Q, Gao B, Siqin B, He Q, Zhang R, Meng X, Zhang N, Zhang N, Li M.","Front Pharmacol. 2021 Jun 16;12:651926. doi: 10.3389/fphar.2021.651926. eCollection 2021.","Li Q","Front Pharmacol","2021","2021/07/05","PMC8241904","","10.3389/fphar.2021.651926"
"32779113","TMAO as a biomarker of cardiovascular events: a systematic review and meta-analysis","Guasti L, Galliazzo S, Molaro M, Visconti E, Pennella B, Gaudio GV, Lupi A, Grandi AM, Squizzato A.","Intern Emerg Med. 2021 Jan;16(1):201-207. doi: 10.1007/s11739-020-02470-5. Epub 2020 Aug 10.","Guasti L","Intern Emerg Med","2021","2020/08/12","","","10.1007/s11739-020-02470-5"
"32353823","The effect of Berberine on weight loss in order to prevent obesity: A systematic review","Ilyas Z, Perna S, Al-Thawadi S, Alalwan TA, Riva A, Petrangolini G, Gasparri C, Infantino V, Peroni G, Rondanelli M.","Biomed Pharmacother. 2020 Jul;127:110137. doi: 10.1016/j.biopha.2020.110137. Epub 2020 Apr 27.","Ilyas Z","Biomed Pharmacother","2020","2020/05/01","","","10.1016/j.biopha.2020.110137"
"29393043","New determinants for gallstone disease? ","Shabanzadeh DM.","Dan Med J. 2018 Feb;65(2):B5438.","Shabanzadeh DM","Dan Med J","2018","2018/02/03","","",""
"32446759","Targeting the human microbiome and its metabolite TMAO in cardiovascular prevention and therapy","Dannenberg L, Zikeli D, Benkhoff M, Ahlbrecht S, Kelm M, Levkau B, Polzin A.","Pharmacol Ther. 2020 Sep;213:107584. doi: 10.1016/j.pharmthera.2020.107584. Epub 2020 May 22.","Dannenberg L","Pharmacol Ther","2020","2020/05/25","","","10.1016/j.pharmthera.2020.107584"
"33574978","Antioxidant Food Components for the Prevention and Treatment of Cardiovascular Diseases: Effects, Mechanisms, and Clinical Studies","Zhou DD, Luo M, Shang A, Mao QQ, Li BY, Gan RY, Li HB.","Oxid Med Cell Longev. 2021 Jan 28;2021:6627355. doi: 10.1155/2021/6627355. eCollection 2021.","Zhou DD","Oxid Med Cell Longev","2021","2021/02/12","PMC7864729","","10.1155/2021/6627355"
"33005189","The Potential Role of Gut Microbiota in the Prevention and Treatment of Lipid Metabolism Disorders","He YJ, You CG.","Int J Endocrinol. 2020 Sep 14;2020:8601796. doi: 10.1155/2020/8601796. eCollection 2020.","He YJ","Int J Endocrinol","2020","2020/10/02","PMC7509545","","10.1155/2020/8601796"
"32366163","Gut Microbiota-Dependent Trimethylamine N-oxide and Cardiovascular Outcomes in Patients With Prior Myocardial Infarction: A Nested Case Control Study From the PEGASUS-TIMI 54 Trial","Gencer B, Li XS, Gurmu Y, Bonaca MP, Morrow DA, Cohen M, Bhatt DL, Steg PG, Storey RF, Johanson P, Wang Z, Hazen SL, Sabatine MS.","J Am Heart Assoc. 2020 May 18;9(10):e015331. doi: 10.1161/JAHA.119.015331. Epub 2020 May 5.","Gencer B","J Am Heart Assoc","2020","2020/05/06","PMC7660879","","10.1161/JAHA.119.015331"
"34597388","Propionate attenuates atherosclerosis by immune-dependent regulation of intestinal cholesterol metabolism","Haghikia A, Zimmermann F, Schumann P, Jasina A, Roessler J, Schmidt D, Heinze P, Kaisler J, Nageswaran V, Aigner A, Ceglarek U, Cineus R, Hegazy AN, van der Vorst EPC, Döring Y, Strauch CM, Nemet I, Tremaroli V, Dwibedi C, Kränkel N, Leistner DM, Heimesaat MM, Bereswill S, Rauch G, Seeland U, Soehnlein O, Müller DN, Gold R, Bäckhed F, Hazen SL, Haghikia A, Landmesser U.","Eur Heart J. 2022 Feb 10;43(6):518-533. doi: 10.1093/eurheartj/ehab644.","Haghikia A","Eur Heart J","2022","2021/10/01","PMC9097250","","10.1093/eurheartj/ehab644"
