PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31434172","Role of Probiotics in Human Gut Microbiome-Associated Diseases","Kim SK, Guevarra RB, Kim YT, Kwon J, Kim H, Cho JH, Kim HB, Lee JH.","J Microbiol Biotechnol. 2019 Sep 28;29(9):1335-1340. doi: 10.4014/jmb.1906.06064.","Kim SK","J Microbiol Biotechnol","2019","2019/08/23","","","10.4014/jmb.1906.06064"
"32406013","Probiotics and the Microbiota-Gut-Brain Axis: Focus on Psychiatry","Mörkl S, Butler MI, Holl A, Cryan JF, Dinan TG.","Curr Nutr Rep. 2020 Sep;9(3):171-182. doi: 10.1007/s13668-020-00313-5.","Mörkl S","Curr Nutr Rep","2020","2020/05/15","PMC7398953","","10.1007/s13668-020-00313-5"
"32010640","How Probiotics Affect the Microbiota","Wieërs G, Belkhir L, Enaud R, Leclercq S, Philippart de Foy JM, Dequenne I, de Timary P, Cani PD.","Front Cell Infect Microbiol. 2020 Jan 15;9:454. doi: 10.3389/fcimb.2019.00454. eCollection 2019.","Wieërs G","Front Cell Infect Microbiol","2020","2020/02/04","PMC6974441","","10.3389/fcimb.2019.00454"
"24290962","Probiotics, gut microbiota and health","Butel MJ.","Med Mal Infect. 2014 Jan;44(1):1-8. doi: 10.1016/j.medmal.2013.10.002. Epub 2013 Nov 28.","Butel MJ","Med Mal Infect","2014","2013/12/03","","","10.1016/j.medmal.2013.10.002"
"32992765","Gut Microbiota, Probiotics and Physical Performance in Athletes and Physically Active Individuals","Marttinen M, Ala-Jaakkola R, Laitila A, Lehtinen MJ.","Nutrients. 2020 Sep 25;12(10):2936. doi: 10.3390/nu12102936.","Marttinen M","Nutrients","2020","2020/09/30","PMC7599951","","10.3390/nu12102936"
"27500859","Probiotics, gut microbiota, and their influence on host health and disease","Sánchez B, Delgado S, Blanco-Míguez A, Lourenço A, Gueimonde M, Margolles A.","Mol Nutr Food Res. 2017 Jan;61(1). doi: 10.1002/mnfr.201600240. Epub 2016 Oct 10.","Sánchez B","Mol Nutr Food Res","2017","2016/08/09","","","10.1002/mnfr.201600240"
"29804899","Influence of the microbiota and probiotics in obesity","Fontané L, Benaiges D, Goday A, Llauradó G, Pedro-Botet J.","Clin Investig Arterioscler. 2018 Nov-Dec;30(6):271-279. doi: 10.1016/j.arteri.2018.03.004. Epub 2018 May 25.","Fontané L","Clin Investig Arterioscler","2018","2018/05/29","","","10.1016/j.arteri.2018.03.004"
"29358877","Relationship between intestinal microbiota and ulcerative colitis: Mechanisms and clinical application of probiotics and fecal microbiota transplantation","Shen ZH, Zhu CX, Quan YS, Yang ZY, Wu S, Luo WW, Tan B, Wang XY.","World J Gastroenterol. 2018 Jan 7;24(1):5-14. doi: 10.3748/wjg.v24.i1.5.","Shen ZH","World J Gastroenterol","2018","2018/01/24","PMC5757125","","10.3748/wjg.v24.i1.5"
"31664483","Relationship between gut microbiota, probiotics, and type 2 diabetes mellitus","Salgaço MK, Oliveira LGS, Costa GN, Bianchi F, Sivieri K.","Appl Microbiol Biotechnol. 2019 Dec;103(23-24):9229-9238. doi: 10.1007/s00253-019-10156-y. Epub 2019 Oct 29.","Salgaço MK","Appl Microbiol Biotechnol","2019","2019/10/31","","","10.1007/s00253-019-10156-y"
"30609922","Probiotics, prebiotics and amelioration of diseases","Tsai YL, Lin TL, Chang CJ, Wu TR, Lai WF, Lu CC, Lai HC.","J Biomed Sci. 2019 Jan 4;26(1):3. doi: 10.1186/s12929-018-0493-6.","Tsai YL","J Biomed Sci","2019","2019/01/06","PMC6320572","","10.1186/s12929-018-0493-6"
"26306709","Modulation of Gut Microbiota-Brain Axis by Probiotics, Prebiotics, and Diet","Liu X, Cao S, Zhang X.","J Agric Food Chem. 2015 Sep 16;63(36):7885-95. doi: 10.1021/acs.jafc.5b02404. Epub 2015 Sep 1.","Liu X","J Agric Food Chem","2015","2015/08/27","","","10.1021/acs.jafc.5b02404"
"29899036","Role of the gut microbiota in nutrition and health","Valdes AM, Walter J, Segal E, Spector TD.","BMJ. 2018 Jun 13;361:k2179. doi: 10.1136/bmj.k2179.","Valdes AM","BMJ","2018","2018/06/15","PMC6000740","","10.1136/bmj.k2179"
"26499995","Gut microbiota and probiotics: Focus on diabetes mellitus","Bordalo Tonucci L, Dos Santos KM, De Luces Fortes Ferreira CL, Ribeiro SM, De Oliveira LL, Martino HS.","Crit Rev Food Sci Nutr. 2017 Jul 24;57(11):2296-2309. doi: 10.1080/10408398.2014.934438.","Bordalo Tonucci L","Crit Rev Food Sci Nutr","2017","2015/10/27","","","10.1080/10408398.2014.934438"
"33652962","Effects of Microbiota Imbalance in Anxiety and Eating Disorders: Probiotics as Novel Therapeutic Approaches","Navarro-Tapia E, Almeida-Toledano L, Sebastiani G, Serra-Delgado M, García-Algar Ó, Andreu-Fernández V.","Int J Mol Sci. 2021 Feb 26;22(5):2351. doi: 10.3390/ijms22052351.","Navarro-Tapia E","Int J Mol Sci","2021","2021/03/03","PMC7956573","","10.3390/ijms22052351"
"23889619","Intestinal microbiota; relevance to obesity and modulation by prebiotics and probiotics","da Silva ST, dos Santos CA, Bressan J.","Nutr Hosp. 2013 Jul-Aug;28(4):1039-48. doi: 10.3305/nh.2013.28.4.6525.","da Silva ST","Nutr Hosp","2013","2013/07/30","","","10.3305/nh.2013.28.4.6525"
"31590358","The Gut Microbiota in Celiac Disease and probiotics","Chibbar R, Dieleman LA.","Nutrients. 2019 Oct 5;11(10):2375. doi: 10.3390/nu11102375.","Chibbar R","Nutrients","2019","2019/10/09","PMC6836185","","10.3390/nu11102375"
"32684346","Prebiotics, probiotics and fecal microbiota transplantation in autism: A systematic review","Martínez-González AE, Andreo-Martínez P.","Rev Psiquiatr Salud Ment (Engl Ed). 2020 Jul-Sep;13(3):150-164. doi: 10.1016/j.rpsm.2020.06.002. Epub 2020 Jul 16.","Martínez-González AE","Rev Psiquiatr Salud Ment (Engl Ed)","2020","2020/07/21","","","10.1016/j.rpsm.2020.06.002"
