PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34644527","A phosphate starvation response-centered network regulates mycorrhizal symbiosis","Shi J, Zhao B, Zheng S, Zhang X, Wang X, Dong W, Xie Q, Wang G, Xiao Y, Chen F, Yu N, Wang E.","Cell. 2021 Oct 28;184(22):5527-5540.e18. doi: 10.1016/j.cell.2021.09.030. Epub 2021 Oct 12.","Shi J","Cell","2021","2021/10/13","","","10.1016/j.cell.2021.09.030"
"29794220","Phylogenomics reveals multiple losses of nitrogen-fixing root nodule symbiosis","Griesmann M, Chang Y, Liu X, Song Y, Haberer G, Crook MB, Billault-Penneteau B, Lauressergues D, Keller J, Imanishi L, Roswanjaya YP, Kohlen W, Pujic P, Battenberg K, Alloisio N, Liang Y, Hilhorst H, Salgado MG, Hocher V, Gherbi H, Svistoonoff S, Doyle JJ, He S, Xu Y, Xu S, Qu J, Gao Q, Fang X, Fu Y, Normand P, Berry AM, Wall LG, Ané JM, Pawlowski K, Xu X, Yang H, Spannagl M, Mayer KFX, Wong GK, Parniske M, Delaux PM, Cheng S.","Science. 2018 Jul 13;361(6398):eaat1743. doi: 10.1126/science.aat1743. Epub 2018 May 24.","Griesmann M","Science","2018","2018/05/26","","","10.1126/science.aat1743"
"33853950","Discriminating symbiosis and immunity signals by receptor competition in rice","Zhang C, He J, Dai H, Wang G, Zhang X, Wang C, Shi J, Chen X, Wang D, Wang E.","Proc Natl Acad Sci U S A. 2021 Apr 20;118(16):e2023738118. doi: 10.1073/pnas.2023738118.","Zhang C","Proc Natl Acad Sci U S A","2021","2021/04/15","PMC8072404","","10.1073/pnas.2023738118"
"31949309","Synthetic symbiosis","Tena G.","Nat Plants. 2020 Jan;6(1):2. doi: 10.1038/s41477-019-0585-7.","Tena G","Nat Plants","2020","2020/01/18","","","10.1038/s41477-019-0585-7"
"29910003","Symbiosis and cohabitation","Cossart P, Delseny M, Dujon B.","C R Biol. 2018 May-Jun;341(5):275. doi: 10.1016/j.crvi.2018.06.001.","Cossart P","C R Biol","2018","2018/06/19","","","10.1016/j.crvi.2018.06.001"
"33326050","[Medicine and media-symbiosis or conflict?]","Fiack S, Koch-Gromus U, Kuhn J, Lübbing-Raukohl C.","Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz. 2021 Jan;64(1):1-2. doi: 10.1007/s00103-020-03262-0. Epub 2020 Dec 16.","Fiack S","Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz","2021","2020/12/16","PMC7738615","","10.1007/s00103-020-03262-0"
"30518840","Symbiosis gatekeeper","Tena G.","Nat Plants. 2018 Dec;4(12):982. doi: 10.1038/s41477-018-0333-4.","Tena G","Nat Plants","2018","2018/12/07","","","10.1038/s41477-018-0333-4"
"31257129","Currency, Exchange, and Inheritance in the Evolution of Symbiosis","Wein T, Romero Picazo D, Blow F, Woehle C, Jami E, Reusch TBH, Martin WF, Dagan T.","Trends Microbiol. 2019 Oct;27(10):836-849. doi: 10.1016/j.tim.2019.05.010. Epub 2019 Jun 27.","Wein T","Trends Microbiol","2019","2019/07/02","","","10.1016/j.tim.2019.05.010"
"33041180","The Molecular Language of the Cnidarian-Dinoflagellate Symbiosis","Rosset SL, Oakley CA, Ferrier-Pagès C, Suggett DJ, Weis VM, Davy SK.","Trends Microbiol. 2021 Apr;29(4):320-333. doi: 10.1016/j.tim.2020.08.005. Epub 2020 Oct 8.","Rosset SL","Trends Microbiol","2021","2020/10/12","","","10.1016/j.tim.2020.08.005"
"33679632","Editorial: Human Microbiome: Symbiosis to Pathogenesis","Lee LH, Wong SH, Chin SF, Singh V, Ab Mutalib NS.","Front Microbiol. 2021 Feb 17;12:605783. doi: 10.3389/fmicb.2021.605783. eCollection 2021.","Lee LH","Front Microbiol","2021","2021/03/08","PMC7928290","","10.3389/fmicb.2021.605783"
"29788835","A symbiosis and a beginning","Punjabi PP.","Perfusion. 2018 May;33(1_suppl):6. doi: 10.1177/0267659118767314.","Punjabi PP","Perfusion","2018","2018/05/24","","","10.1177/0267659118767314"
"30721677","Defensive symbionts","King KC.","Curr Biol. 2019 Feb 4;29(3):R78-R80. doi: 10.1016/j.cub.2018.11.028.","King KC","Curr Biol","2019","2019/02/06","","","10.1016/j.cub.2018.11.028"
"33064903","Phenology and function in lycopod-Mucoromycotina symbiosis","Hoysted GA, Bidartondo MI, Duckett JG, Pressel S, Field KJ.","New Phytol. 2021 Mar;229(5):2389-2394. doi: 10.1111/nph.17009. Epub 2020 Nov 28.","Hoysted GA","New Phytol","2021","2020/10/16","","","10.1111/nph.17009"
"31218790","Plant-Microbe Symbiosis: What Has Proteomics Taught Us?","Khatabi B, Gharechahi J, Ghaffari MR, Liu D, Haynes PA, McKay MJ, Mirzaei M, Salekdeh GH.","Proteomics. 2019 Aug;19(16):e1800105. doi: 10.1002/pmic.201800105.","Khatabi B","Proteomics","2019","2019/06/21","","","10.1002/pmic.201800105"
