PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28465831","Interaction between the gut microbiome and mucosal immune system","Shi N, Li N, Duan X, Niu H.","Mil Med Res. 2017 Apr 27;4:14. doi: 10.1186/s40779-017-0122-9. eCollection 2017.","Shi N","Mil Med Res","2017","2017/05/04","PMC5408367","","10.1186/s40779-017-0122-9"
"28423337","Homeostatic Immunity and the Microbiota","Belkaid Y, Harrison OJ.","Immunity. 2017 Apr 18;46(4):562-576. doi: 10.1016/j.immuni.2017.04.008.","Belkaid Y","Immunity","2017","2017/04/20","PMC5604871","NIHMS866826","10.1016/j.immuni.2017.04.008"
"26912499","Gut microbiota, obesity and diabetes","Patterson E, Ryan PM, Cryan JF, Dinan TG, Ross RP, Fitzgerald GF, Stanton C.","Postgrad Med J. 2016 May;92(1087):286-300. doi: 10.1136/postgradmedj-2015-133285. Epub 2016 Feb 24.","Patterson E","Postgrad Med J","2016","2016/02/26","","","10.1136/postgradmedj-2015-133285"
"32238208","SCFA: mechanisms and functional importance in the gut","Martin-Gallausiaux C, Marinelli L, Blottière HM, Larraufie P, Lapaque N.","Proc Nutr Soc. 2021 Feb;80(1):37-49. doi: 10.1017/S0029665120006916. Epub 2020 Apr 2.","Martin-Gallausiaux C","Proc Nutr Soc","2021","2020/04/03","","","10.1017/S0029665120006916"
"24679531","Role of the microbiota in immunity and inflammation","Belkaid Y, Hand TW.","Cell. 2014 Mar 27;157(1):121-41. doi: 10.1016/j.cell.2014.03.011.","Belkaid Y","Cell","2014","2014/04/01","PMC4056765","NIHMS579635","10.1016/j.cell.2014.03.011"
"24132111","The microbiome and cancer","Schwabe RF, Jobin C.","Nat Rev Cancer. 2013 Nov;13(11):800-12. doi: 10.1038/nrc3610. Epub 2013 Oct 17.","Schwabe RF","Nat Rev Cancer","2013","2013/10/18","PMC3986062","NIHMS564722","10.1038/nrc3610"
"26811603","Gut microbiota imbalance and colorectal cancer","Gagnière J, Raisch J, Veziant J, Barnich N, Bonnet R, Buc E, Bringer MA, Pezet D, Bonnet M.","World J Gastroenterol. 2016 Jan 14;22(2):501-18. doi: 10.3748/wjg.v22.i2.501.","Gagnière J","World J Gastroenterol","2016","2016/01/27","PMC4716055","","10.3748/wjg.v22.i2.501"
"31672864","Microbiota and the social brain","Sherwin E, Bordenstein SR, Quinn JL, Dinan TG, Cryan JF.","Science. 2019 Nov 1;366(6465):eaar2016. doi: 10.1126/science.aar2016.","Sherwin E","Science","2019","2019/11/02","","","10.1126/science.aar2016"
"30294759","Gut microbiota and Hashimoto's thyroiditis","Virili C, Fallahi P, Antonelli A, Benvenga S, Centanni M.","Rev Endocr Metab Disord. 2018 Dec;19(4):293-300. doi: 10.1007/s11154-018-9467-y.","Virili C","Rev Endocr Metab Disord","2018","2018/10/09","","","10.1007/s11154-018-9467-y"
"28856738","Gut microbiota: Role in pathogen colonization, immune responses, and inflammatory disease","Pickard JM, Zeng MY, Caruso R, Núñez G.","Immunol Rev. 2017 Sep;279(1):70-89. doi: 10.1111/imr.12567.","Pickard JM","Immunol Rev","2017","2017/09/01","PMC5657496","NIHMS882167","10.1111/imr.12567"
"28556916","Intestinal dysbiosis and probiotic applications in autoimmune diseases","de Oliveira GLV, Leite AZ, Higuchi BS, Gonzaga MI, Mariano VS.","Immunology. 2017 Sep;152(1):1-12. doi: 10.1111/imm.12765. Epub 2017 Jun 29.","de Oliveira GLV","Immunology","2017","2017/05/31","PMC5543467","","10.1111/imm.12765"
"29380303","Gut Microbiota and the Neuroendocrine System","Farzi A, Fröhlich EE, Holzer P.","Neurotherapeutics. 2018 Jan;15(1):5-22. doi: 10.1007/s13311-017-0600-5.","Farzi A","Neurotherapeutics","2018","2018/01/31","PMC5794709","","10.1007/s13311-017-0600-5"
"33255179","The Osteoporosis/Microbiota Linkage: The Role of miRNA","De Martinis M, Ginaldi L, Allegra A, Sirufo MM, Pioggia G, Tonacci A, Gangemi S.","Int J Mol Sci. 2020 Nov 24;21(23):8887. doi: 10.3390/ijms21238887.","De Martinis M","Int J Mol Sci","2020","2020/12/01","PMC7727697","","10.3390/ijms21238887"
"32005980","Host-microbiota interactions in inflammatory bowel disease","Caruso R, Lo BC, Núñez G.","Nat Rev Immunol. 2020 Jul;20(7):411-426. doi: 10.1038/s41577-019-0268-7. Epub 2020 Jan 31.","Caruso R","Nat Rev Immunol","2020","2020/02/02","","","10.1038/s41577-019-0268-7"
"33246175","The impact of the microbiota-gut-brain axis on Alzheimer's disease pathophysiology","Doifode T, Giridharan VV, Generoso JS, Bhatti G, Collodel A, Schulz PE, Forlenza OV, Barichello T.","Pharmacol Res. 2021 Feb;164:105314. doi: 10.1016/j.phrs.2020.105314. Epub 2020 Nov 25.","Doifode T","Pharmacol Res","2021","2020/11/27","","","10.1016/j.phrs.2020.105314"
"33234022","Gut Microbiota in Intestinal and Liver Disease","Jones RM, Neish AS.","Annu Rev Pathol. 2021 Jan 24;16:251-275. doi: 10.1146/annurev-pathol-030320-095722. Epub 2020 Nov 24.","Jones RM","Annu Rev Pathol","2021","2020/11/25","","","10.1146/annurev-pathol-030320-095722"
"27098727","Impact of the gut microbiota on inflammation, obesity, and metabolic disease","Boulangé CL, Neves AL, Chilloux J, Nicholson JK, Dumas ME.","Genome Med. 2016 Apr 20;8(1):42. doi: 10.1186/s13073-016-0303-2.","Boulangé CL","Genome Med","2016","2016/04/22","PMC4839080","","10.1186/s13073-016-0303-2"
"30458058","Fecal microbiota transplantation in cancer management: Current status and perspectives","Chen D, Wu J, Jin D, Wang B, Cao H.","Int J Cancer. 2019 Oct 15;145(8):2021-2031. doi: 10.1002/ijc.32003. Epub 2018 Dec 30.","Chen D","Int J Cancer","2019","2018/11/21","PMC6767494","","10.1002/ijc.32003"
"24956966","Microbiota and neurodevelopmental windows: implications for brain disorders","Borre YE, O'Keeffe GW, Clarke G, Stanton C, Dinan TG, Cryan JF.","Trends Mol Med. 2014 Sep;20(9):509-18. doi: 10.1016/j.molmed.2014.05.002. Epub 2014 Jun 20.","Borre YE","Trends Mol Med","2014","2014/06/25","","","10.1016/j.molmed.2014.05.002"
"30687918","[The microbiota-gut-brain axis and its great projections]","Gomez-Eguilaz M, Ramon-Trapero JL, Perez-Martinez L, Blanco JR.","Rev Neurol. 2019 Feb 1;68(3):111-117.","Gomez-Eguilaz M","Rev Neurol","2019","2019/01/29","","",""
"31687412","Gut Microbiota Modulation on Intestinal Mucosal Adaptive Immunity","Wang L, Zhu L, Qin S.","J Immunol Res. 2019 Oct 3;2019:4735040. doi: 10.1155/2019/4735040. eCollection 2019.","Wang L","J Immunol Res","2019","2019/11/06","PMC6794961","","10.1155/2019/4735040"
"28546564","Roles of intestinal epithelial cells in the maintenance of gut homeostasis","Okumura R, Takeda K.","Exp Mol Med. 2017 May 26;49(5):e338. doi: 10.1038/emm.2017.20.","Okumura R","Exp Mol Med","2017","2017/05/27","PMC5454438","","10.1038/emm.2017.20"
"29035308","Gut Microbiota and Nonalcoholic Fatty Liver Disease: Insights on Mechanisms and Therapy","Ma J, Zhou Q, Li H.","Nutrients. 2017 Oct 16;9(10):1124. doi: 10.3390/nu9101124.","Ma J","Nutrients","2017","2017/10/17","PMC5691740","","10.3390/nu9101124"
