PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31405021","Ketogenic Diet in Alzheimer's Disease","Rusek M, Pluta R, Ułamek-Kozioł M, Czuczwar SJ.","Int J Mol Sci. 2019 Aug 9;20(16):3892. doi: 10.3390/ijms20163892.","Rusek M","Int J Mol Sci","2019","2019/08/14","PMC6720297","","10.3390/ijms20163892"
"32214253","Dietary modifications for enhanced cancer therapy","Kanarek N, Petrova B, Sabatini DM.","Nature. 2020 Mar;579(7800):507-517. doi: 10.1038/s41586-020-2124-0. Epub 2020 Mar 25.","Kanarek N","Nature","2020","2020/03/28","","","10.1038/s41586-020-2124-0"
"34046374","A Ketogenic Diet and the Treatment of Autism Spectrum Disorder","Li Q, Liang J, Fu N, Han Y, Qin J.","Front Pediatr. 2021 May 11;9:650624. doi: 10.3389/fped.2021.650624. eCollection 2021.","Li Q","Front Pediatr","2021","2021/05/28","PMC8146910","","10.3389/fped.2021.650624"
"31185843","[Ketogenic Diet and its Evidence-Based Therapeutic Implementation in Endocrine Diseases]","Stocker RK, Reber Aubry E, Bally L, Nuoffer JM, Stanga Z.","Praxis (Bern 1994). 2019 Jun;108(8):541-553. doi: 10.1024/1661-8157/a003246.","Stocker RK","Praxis (Bern 1994)","2019","2019/06/13","","","10.1024/1661-8157/a003246"
"34910547","β2-spectrin (SPTBN1) as a therapeutic target for diet-induced liver disease and preventing cancer development","Rao S, Yang X, Ohshiro K, Zaidi S, Wang Z, Shetty K, Xiang X, Hassan MI, Mohammad T, Latham PS, Nguyen BN, Wong L, Yu H, Al-Abed Y, Mishra B, Vacca M, Guenigault G, Allison MED, Vidal-Puig A, Benhammou JN, Alvarez M, Pajukanta P, Pisegna JR, Mishra L.","Sci Transl Med. 2021 Dec 15;13(624):eabk2267. doi: 10.1126/scitranslmed.abk2267. Epub 2021 Dec 15.","Rao S","Sci Transl Med","2021","2021/12/15","PMC8941321","NIHMS1773791","10.1126/scitranslmed.abk2267"
"28877458","Ketogenic Diet Reduces Midlife Mortality and Improves Memory in Aging Mice","Newman JC, Covarrubias AJ, Zhao M, Yu X, Gut P, Ng CP, Huang Y, Haldar S, Verdin E.","Cell Metab. 2017 Sep 5;26(3):547-557.e8. doi: 10.1016/j.cmet.2017.08.004.","Newman JC","Cell Metab","2017","2017/09/07","PMC5605815","NIHMS899627","10.1016/j.cmet.2017.08.004"
"33131914","Dietary and Nutritional Approaches to the Management of Chronic Enteropathy in Dogs and Cats","Kathrani A.","Vet Clin North Am Small Anim Pract. 2021 Jan;51(1):123-136. doi: 10.1016/j.cvsm.2020.09.005. Epub 2020 Oct 29.","Kathrani A","Vet Clin North Am Small Anim Pract","2021","2020/11/02","","","10.1016/j.cvsm.2020.09.005"
"30828329","Gut Microbiome as Target for Innovative Strategies Against Food Allergy","Berni Canani R, Paparo L, Nocerino R, Di Scala C, Della Gatta G, Maddalena Y, Buono A, Bruno C, Voto L, Ercolini D.","Front Immunol. 2019 Feb 15;10:191. doi: 10.3389/fimmu.2019.00191. eCollection 2019.","Berni Canani R","Front Immunol","2019","2019/03/05","PMC6384262","","10.3389/fimmu.2019.00191"
"29221919","Impact of Lifestyle Interventions Targeting Healthy Diet, Physical Activity, and Weight Loss on Asthma in Adults: What Is the Evidence?","Nyenhuis SM, Dixon AE, Ma J.","J Allergy Clin Immunol Pract. 2018 May-Jun;6(3):751-763. doi: 10.1016/j.jaip.2017.10.026. Epub 2017 Dec 6.","Nyenhuis SM","J Allergy Clin Immunol Pract","2018","2017/12/10","PMC5948112","NIHMS917855","10.1016/j.jaip.2017.10.026"
"31029650","Nutrient Intake, Diet Quality, and Diet Diversity in Irritable Bowel Syndrome and the Impact of the Low FODMAP Diet","Staudacher HM, Ralph FSE, Irving PM, Whelan K, Lomer MCE.","J Acad Nutr Diet. 2020 Apr;120(4):535-547. doi: 10.1016/j.jand.2019.01.017. Epub 2019 Apr 24.","Staudacher HM","J Acad Nutr Diet","2020","2019/04/29","","","10.1016/j.jand.2019.01.017"
"34931082","Microbial metabolite delta-valerobetaine is a diet-dependent obesogen","Liu KH, Owens JA, Saeedi B, Cohen CE, Bellissimo MP, Naudin C, Darby T, Druzak S, Maner-Smith K, Orr M, Hu X, Fernandes J, Camacho MC, Hunter-Chang S, VanInsberghe D, Ma C, Ganesh T, Yeligar SM, Uppal K, Go YM, Alvarez JA, Vos MB, Ziegler TR, Woodworth MH, Kraft CS, Jones RM, Ortlund E, Neish AS, Jones DP.","Nat Metab. 2021 Dec;3(12):1694-1705. doi: 10.1038/s42255-021-00502-8. Epub 2021 Dec 20.","Liu KH","Nat Metab","2021","2021/12/21","PMC8711632","NIHMS1754283","10.1038/s42255-021-00502-8"
"30595550","Mapping the molecular signatures of diet-induced NASH and its regulation by the hepatokine Tsukushi","Xiong X, Wang Q, Wang S, Zhang J, Liu T, Guo L, Yu Y, Lin JD.","Mol Metab. 2019 Feb;20:128-137. doi: 10.1016/j.molmet.2018.12.004. Epub 2018 Dec 15.","Xiong X","Mol Metab","2019","2019/01/01","PMC6358550","","10.1016/j.molmet.2018.12.004"
"33838849","Clinical Implications for Women of a Low-Carbohydrate or Ketogenic Diet With Intermittent Fasting","Arbour MW, Stec M, Walker KC, Wika JC.","Nurs Womens Health. 2021 Apr;25(2):139-151. doi: 10.1016/j.nwh.2021.01.009.","Arbour MW","Nurs Womens Health","2021","2021/04/11","","","10.1016/j.nwh.2021.01.009"
"34489604","Hepatocyte-derived exosomes from early onset obese mice promote insulin sensitivity through miR-3075","Ji Y, Luo Z, Gao H, Dos Reis FCG, Bandyopadhyay G, Jin Z, Manda KA, Isaac R, Yang M, Fu W, Ying W, Olefsky JM.","Nat Metab. 2021 Sep;3(9):1163-1174. doi: 10.1038/s42255-021-00444-1. Epub 2021 Sep 6.","Ji Y","Nat Metab","2021","2021/09/07","PMC8460610","NIHMS1727500","10.1038/s42255-021-00444-1"
"32218121","Negative Energy Balance Induced by Exercise or Diet: Effects on Visceral Adipose Tissue and Liver Fat","Ross R, Soni S, Houle SA.","Nutrients. 2020 Mar 25;12(4):891. doi: 10.3390/nu12040891.","Ross R","Nutrients","2020","2020/03/29","PMC7230996","","10.3390/nu12040891"
"33856409","Feeding-induced hepatokine, Manf, ameliorates diet-induced obesity by promoting adipose browning via p38 MAPK pathway","Wu T, Liu Q, Li Y, Li H, Chen L, Yang X, Tang Q, Pu S, Kuang J, Li R, Huang Y, Zhang J, Zhang Z, Zhou J, Huang C, Zhang G, Zhao Y, Zou M, Jiang W, Mo L, He J.","J Exp Med. 2021 Jun 7;218(6):e20201203. doi: 10.1084/jem.20201203.","Wu T","J Exp Med","2021","2021/04/15","PMC8054200","","10.1084/jem.20201203"
"28657607","Gut Microbiota as a Target for Preventive and Therapeutic Intervention against Food Allergy","Aitoro R, Paparo L, Amoroso A, Di Costanzo M, Cosenza L, Granata V, Di Scala C, Nocerino R, Trinchese G, Montella M, Ercolini D, Berni Canani R.","Nutrients. 2017 Jun 28;9(7):672. doi: 10.3390/nu9070672.","Aitoro R","Nutrients","2017","2017/06/29","PMC5537787","","10.3390/nu9070672"
"33573169","Micronutrients, Phytochemicals and Mediterranean Diet: A Potential Protective Role against COVID-19 through Modulation of PAF Actions and Metabolism","Detopoulou P, Demopoulos CA, Antonopoulou S.","Nutrients. 2021 Jan 30;13(2):462. doi: 10.3390/nu13020462.","Detopoulou P","Nutrients","2021","2021/02/12","PMC7911163","","10.3390/nu13020462"
"31952989","Aifm2, a NADH Oxidase, Supports Robust Glycolysis and Is Required for Cold- and Diet-Induced Thermogenesis","Nguyen HP, Yi D, Lin F, Viscarra JA, Tabuchi C, Ngo K, Shin G, Lee AY, Wang Y, Sul HS.","Mol Cell. 2020 Feb 6;77(3):600-617.e4. doi: 10.1016/j.molcel.2019.12.002. Epub 2020 Jan 14.","Nguyen HP","Mol Cell","2020","2020/01/19","PMC7031813","NIHMS1550438","10.1016/j.molcel.2019.12.002"
"33747723","AKAP1 Deficiency Attenuates Diet-Induced Obesity and Insulin Resistance by Promoting Fatty Acid Oxidation and Thermogenesis in Brown Adipocytes","Ji L, Zhao Y, He L, Zhao J, Gao T, Liu F, Qi B, Kang F, Wang G, Zhao Y, Guo H, He Y, Li F, Huang Q, Xing J.","Adv Sci (Weinh). 2021 Feb 1;8(6):2002794. doi: 10.1002/advs.202002794. eCollection 2021 Mar.","Ji L","Adv Sci (Weinh)","2021","2021/03/22","PMC7967052","","10.1002/advs.202002794"
"33619378","The major cap-binding protein eIF4E regulates lipid homeostasis and diet-induced obesity","Conn CS, Yang H, Tom HJ, Ikeda K, Oses-Prieto JA, Vu H, Oguri Y, Nair S, Gill RM, Kajimura S, DeBerardinis RJ, Burlingame AL, Ruggero D.","Nat Metab. 2021 Feb;3(2):244-257. doi: 10.1038/s42255-021-00349-z. Epub 2021 Feb 18.","Conn CS","Nat Metab","2021","2021/02/23","","","10.1038/s42255-021-00349-z"
